ID,y
1,82.179462916
2,101.191247392
3,81.2402146646
4,80.5256013356
5,122.526456951
8,94.2095584501
10,113.877935986
11,95.3947978168
12,118.143878341
14,95.3280839036
15,117.573997939
16,105.420784145
17,101.906124703
19,95.2767139848
20,105.366244672
21,103.551394845
22,117.942048386
23,101.475401681
26,96.7573792764
28,94.2054547679
29,96.475052804
33,96.3445279629
35,94.8191825025
41,96.8975880829
42,94.3663358757
43,117.376602128
45,103.977377286
46,104.018394462
51,94.0764923754
53,80.2707608407
55,112.465270919
56,94.4725037653
57,104.314755021
58,95.4719651494
59,104.527245401
63,112.145671196
64,95.0330841586
65,104.801376167
69,94.9500042891
71,95.0579312757
72,104.442153219
73,94.4276906925
76,104.436330515
77,104.230541337
78,116.093910355
82,94.3845047902
83,104.747317676
84,94.4123010239
85,103.941025443
87,112.30992241
88,96.2920580257
89,112.682774156
91,94.8605255464
93,94.6855632394
94,104.459497448
95,96.3928725848
96,111.497513261
97,94.2223921917
98,113.014896257
99,94.169475559
101,104.338569562
103,112.682689989
104,94.0952606498
105,111.933054499
110,94.7955577409
111,112.397142321
113,112.693913744
114,93.4528735957
115,114.956934072
117,112.682605822
120,94.2468479493
121,112.423983447
122,93.8467993891
123,112.81428075
126,112.314723346
132,111.943992915
135,104.857100238
137,104.39690377
138,94.6803443555
140,94.4583192606
142,113.609281142
144,112.309121967
148,93.9321124928
149,114.9035667
155,94.4568201653
156,112.32333968
157,94.4767235548
162,112.251831441
163,94.7654318209
167,94.2852576012
172,116.118372673
179,113.011972647
180,94.0353697658
181,111.820254759
182,95.0261539365
183,112.682209036
185,112.682197012
187,112.094057852
188,94.1568472643
189,94.1029333246
191,94.2288250264
192,113.231696454
193,94.8266537026
194,112.012457541
195,93.6792420954
196,112.396928855
198,94.6409337137
199,112.350867423
201,104.416648665
204,94.4564368274
205,105.013466672
206,94.3359673325
210,94.3940150995
211,104.337908252
216,112.481227867
219,115.725229701
220,94.0176067437
221,111.946990296
226,111.819984224
227,94.1178707639
228,112.328811974
230,112.362155664
231,93.6155151238
235,116.580805386
236,94.1937803254
238,113.145180994
242,104.546808738
243,94.6420214043
244,80.1167840521
245,112.355263904
247,118.134316034
248,93.9068176455
249,94.1546896318
250,111.712224634
251,94.1936901468
253,116.580697171
254,93.8466866327
256,94.247310719
257,93.4946819873
258,112.34699307
259,94.2181886415
262,80.2725413102
266,94.4570607415
267,114.915613643
272,103.667989595
273,112.671429317
275,101.352155865
276,112.922536491
279,94.6614452203
280,104.674134734
283,94.2969728293
285,112.475144406
288,112.671339138
289,94.9046935453
290,104.474592914
291,94.6402520856
292,111.485976903
293,112.323942746
296,108.287339979
297,111.999478696
298,115.902158048
299,94.3830247301
304,93.6945305685
305,87.8968415726
306,94.3767072093
307,111.77941242
311,109.749836938
313,111.79006513
314,93.8850940082
316,94.6229471851
324,95.5152725334
327,94.5740983543
329,93.780084396
330,112.007672637
337,103.962232909
338,94.9462095094
339,104.963609435
340,94.9223779359
343,93.6855815362
345,115.662979281
346,94.2379778564
347,115.40681665
349,112.188055087
350,93.6403398806
352,112.415918976
353,93.9806447654
354,78.6645549445
357,94.1429456223
358,112.639714081
362,114.358912881
364,116.375611309
365,110.191817815
366,94.4256243362
367,112.192409608
368,94.6196583329
370,79.1650783868
373,94.8855071893
377,93.9494888176
378,112.303938631
382,104.378079015
384,112.327874117
390,94.7332671659
392,111.894445895
393,112.28469588
395,94.7486909102
396,104.77975267
399,78.874783563
406,111.789506023
408,111.789493999
409,93.9073870599
410,79.8415134918
412,111.9324625
413,93.1616011323
419,94.5810160994
420,112.762441624
421,93.216530454
430,103.143321564
434,94.1128227559
436,94.7839071159
437,94.405485445
438,93.3903402999
439,112.808134282
440,94.3049269395
443,112.791478154
446,94.4864424322
448,94.5529257995
452,94.7136361724
453,104.156833227
457,104.279748785
458,94.3073698526
459,114.641602174
460,103.98455486
462,104.851882307
464,104.264996361
465,115.723750772
467,117.838420956
471,111.824512946
472,78.3486604098
473,94.1163738191
475,94.5095637648
480,94.7228334972
488,112.718516094
490,111.778312241
491,104.119397412
492,79.1211830752
493,94.1340586089
497,93.3979282125
498,112.312883644
499,94.4770756552
500,109.789453395
501,94.2823691804
502,114.711655678
506,80.1790602553
510,112.097555764
511,93.5861756498
512,93.6842958013
516,107.624105367
518,93.8373587899
519,114.919401071
521,93.5661892156
522,112.803775491
526,112.2575319
529,95.3076314769
532,111.801883646
533,94.3919516643
536,112.905752753
537,100.779164148
539,94.3942113478
540,104.288643233
541,94.3168757191
543,94.1184339848
546,112.202571574
547,94.1885994647
548,79.4482174785
551,94.1389476869
552,104.051216731
556,103.826790242
557,94.746115547
558,112.191261333
559,94.6745247644
560,104.954737483
562,105.030378535
566,94.5373492271
570,112.312450787
571,94.4046798493
572,104.743820794
573,94.2437508192
575,115.723089462
576,111.320623944
577,93.4232893662
579,93.5888715881
580,111.658604962
581,111.911024631
589,111.777717062
591,103.476103179
593,94.6381694605
594,103.4408526
595,94.5866822959
598,94.0891427273
602,111.582880659
604,112.412656844
606,112.710295557
608,94.3723506068
609,104.3531393
610,94.072961217
616,112.082796493
617,94.2547770851
618,104.167522584
620,104.463698014
622,112.471771679
623,93.348021737
624,122.6320817
626,111.880145431
628,112.0082462
629,94.0386398488
630,112.319238815
637,94.8605494142
638,104.573231553
643,94.641496348
645,94.7218415324
646,114.889445591
648,95.0997244659
652,94.532307972
653,94.397442488
654,112.311945787
656,112.086271532
657,94.5560315538
659,94.5375637138
660,104.840883685
663,93.8161928737
664,112.607333971
666,103.881032819
668,111.635492907
669,94.2045877191
671,94.9161836685
675,93.6378436874
677,94.476521835
678,111.690551372
679,104.49731675
682,94.6083107869
685,104.240643543
687,94.3431281074
688,94.1018662451
693,112.078198444
696,95.1677585275
698,94.2248416878
701,96.0242986785
704,104.330690363
705,116.098086112
709,112.627708577
710,93.9457906052
711,104.264799412
712,94.8461914574
714,111.904923085
715,94.1558563572
716,111.797980161
717,93.8655678373
720,115.701786216
721,94.2152703679
724,108.065797221
725,94.3705409513
726,112.702758604
728,112.663162588
731,94.2218810332
734,105.133872947
738,94.1733984083
745,112.082837302
746,93.8816423717
751,79.9890687583
754,94.0146307224
756,94.1762748029
758,94.4651935008
759,113.712118488
761,116.009199824
766,94.4384122328
767,111.635375511
768,93.3635684673
769,112.517194664
770,97.1825813532
771,79.2243488924
772,104.667945658
773,94.1190507263
774,112.254255669
776,112.31289843
777,94.5727578554
780,116.458566615
782,104.298594296
787,103.644442363
788,94.3927143826
792,93.5339411493
793,111.985996243
798,94.5600292003
800,93.7898773271
806,111.823211184
809,112.528970484
811,113.829297205
812,93.1251555022
814,115.760394681
816,104.427127101
817,94.6713791486
818,107.492056526
820,112.323561893
823,94.2611378391
829,93.3695417678
830,113.228535358
831,93.2436201535
834,112.025692134
839,94.5467274633
841,79.3257918145
844,104.412921875
845,93.9868155949
848,93.8091647535
850,95.8665824568
851,104.17529655
852,96.25405728
854,93.8345396738
855,94.5883514875
856,103.928826616
859,103.819964187
